""	"Datetime"	"CH4_g_d"	"Temperature_C"	"Pigs_Number"	"Pigs_Mass"	"Slurry_Mass"	"Feed_Rate"	"Batch_Rate"	"Section_Rate"	"Section"	"Batch"	"Section_C"	"Section_d"	"Comments"
"26781"	2022-05-01 15:00:00	NA	15.5128678385417	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20429"	2022-05-01 16:00:00	NA	15.9085047743056	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26782"	2022-05-01 16:00:00	NA	15.5533848741319	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20430"	2022-05-01 17:00:00	NA	15.956171875	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26783"	2022-05-01 17:00:00	NA	15.5915185546875	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20431"	2022-05-01 18:00:00	NA	15.9943055555556	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26784"	2022-05-01 18:00:00	NA	15.6201188151042	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20432"	2022-05-01 19:00:00	NA	16.0491227213542	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26785"	2022-05-01 19:00:00	NA	15.6463357204861	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20433"	2022-05-01 20:00:00	NA	16.0753396267361	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26786"	2022-05-01 20:00:00	NA	15.6868527560764	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20434"	2022-05-01 21:00:00	NA	16.1063232421875	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26787"	2022-05-01 21:00:00	NA	15.7130696614583	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20435"	2022-05-01 22:00:00	NA	16.1444569227431	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26788"	2022-05-01 22:00:00	NA	15.7369032118056	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20436"	2022-05-01 23:00:00	NA	16.1873573133681	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26789"	2022-05-01 23:00:00	NA	15.7655034722222	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20437"	2022-05-02	NA	16.2183409288194	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26790"	2022-05-02	NA	15.7774202473958	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20438"	2022-05-02 01:00:00	NA	16.2660080295139	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26791"	2022-05-02 01:00:00	NA	15.8107872178819	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20439"	2022-05-02 02:00:00	NA	16.2779248046875	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26792"	2022-05-02 02:00:00	NA	15.8155539279514	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20440"	2022-05-02 03:00:00	NA	16.3136751302083	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26793"	2022-05-02 03:00:00	NA	15.8417708333333	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
